ds,Petrol,Diesel,CNG,EV,Year
2021-01-01,16976944.600000113,2085944.4000002146,207153.60000008345,774018.4000001252,2021
2022-01-01,17048683.400000066,2285844.2000002265,288288.0000000596,892413.1000001132,2022
2023-01-01,17120422.200000048,2485744.000000179,369422.40000006557,1010807.8000001311,2023
2024-01-01,17192161.0,2685643.800000131,450556.8000000417,1129202.5000001192,2024
2025-01-01,17263899.799999982,2885543.600000143,531691.2000000477,1247597.2000001073,2025
2026-01-01,17335638.599999934,3085443.4000000954,612825.6000000238,1365991.9000000954,2026
2027-01-01,17407377.399999917,3285343.2000001073,693960.0,1484386.6000000834,2027
2028-01-01,17479116.1999999,3485243.0000000596,775094.400000006,1602781.3000001013,2028
2029-01-01,17550854.99999985,3685142.8000000715,856228.7999999821,1721176.0000000894,2029
2030-01-01,17622593.799999833,3885042.600000024,937363.1999999881,1839570.7000000775,2030
