Brand,Model,Variant,Engine Type,Displacement,Max Power,Max Torque,Turbo Charger,Transmission Type,Gearbox,Drive Type
Aston,Martin DB11,V8,,3998 cc,502.88bhp@6000rpm,675Nm@2000-5000rpm,,Automatic,AMG Speedshift 9G TCT Automatic,
Aston,Martin DB12,Coupe,M177 biturbo V8,3982 cc,670.69bhp@6000rpm,800Nm@2750-6000rpm,Twin,Automatic,8-Speed AMT,RWD
Aston,Martin DB11 2016-2020,V12,5.2L bi-turbo Petrol Engi,5204 cc,599.68bhp@6500rpm,700Nm@1500-5000rpm,Yes,Automatic,8 Speed,RWD
Aston,Martin DB11,V12,,3998 cc,502.88bhp@6000rpm,675Nm@2000-5000rpm,,Automatic,AMG Speedshift 9G TCT Automatic,
Aston,Martin Vanquish,V12,5.2L V12 Twin-Turbo,5203 cc,824bhp@6500rpm,1000Nm@2500-5000rpm,Twin,Automatic,,rear-wheel drive
Aston,Martin Vantage,V8,M177 AMG,3998 cc,656bhp@6000rpm,800Nm@2750-6000rpm,Twin,Automatic,8-speed AT,RWD
Aston,Martin DBX,V8,4.0-litre V8 32 valve Twin Turbo,3982 cc,542bhp@6500rpm,700Nm@2200-5000rpm,Twin,Automatic,9-Speed AT,AWD
Aston,Martin DB11,V8 Voalnte,,3998 cc,502.88bhp@6000rpm,675Nm@2000-5000rpm,,Manual,AMG Speedshift 9G TCT Automatic,
Aston,Martin DBX,707,"Quad Overhead Cam,4 litre twin turbo V8",3982 cc,697bhp@6000rpm,900Nm@2600-4500rpm,Twin,Automatic,9-Speed AT,AWD
Audi,A4,Premium,2.0 L TFSI petrol engine,1984 cc,207bhp@4200-6000rpm,320Nm@1450–4200rpm,Yes,Automatic,7-Speed S-tronic,FWD
Audi,A4,Premium Plus,2.0 L TFSI petrol engine,1984 cc,207bhp@4200-6000rpm,320Nm@1450–4200rpm,Yes,Automatic,7-Speed Stronic,FWD
Audi,A8 L,Celebration,55 TFSI quattro tiptronic,2995 cc,335.25bhp@5000-6400rpm,500Nm@1370-4500rpm,,Automatic,8-Speed tiptronic AT,AWD
Audi,A4,Signature Edition,2.0 L TFSI petrol engine,1984 cc,207bhp@4200-6000rpm,320Nm@1450–4200rpm,Yes,Automatic,7-Speed Stronic,FWD
Audi,A4,Technology,2.0 L TFSI petrol engine,1984 cc,207bhp@4200-6000rpm,320Nm@1450–4200rpm,Yes,Automatic,7-Speed Stronic,FWD
Audi,A8 L,Celebration BSVI,55 TFSI quattro tiptronic,2995 cc,335.25bhp@5000-6400rpm,500Nm@1370-4500rpm,,Automatic,8-speed tiptronic/automatic,AWD
Audi,A8 L,Technology,55 TFSI quattro tiptronic,2995 cc,335.25bhp@5000-6400rpm,500Nm@1370-4500rpm,,Automatic,8-Speed tiptronic AT,AWD
Audi,A8 L,Technology BSVI,55 TFSI quattro tiptronic,2995 cc,335.25bhp@5000-6400rpm,500Nm@1370-4500rpm,,Automatic,8-speed tiptronic/automatic,AWD
Audi,Q3,Bold Edition,40 TFSI quattro S tronic,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed DCT,AWD
Audi,Q3,Premium,40 TFSI quattro S tronic,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed DCT,AWD
Audi,Q3,Premium Plus,40 TFSI quattro S tronic,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed DCT,AWD
Audi,Q3,Signature Line,40 TFSI quattro S tronic,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed DCT,AWD
Audi,Q3 Sportback,40TFSI Quattro,40 TFSI quattro,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed,AWD
Audi,Q3 Sportback,Bold Edition,40 TFSI quattro,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed,AWD
Audi,Q3,Technology,40 TFSI quattro S tronic,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed DCT,AWD
Audi,Q3 Sportback,Signature Line,40 TFSI quattro,1984 cc,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,,Automatic,7-Speed,AWD
Audi,Q5,Bold Edition,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhprpm,,Automatic,7-Speed AT,AWD
Audi,Q5,Premium Plus,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,,Automatic,7-Speed AT,AWD
Audi,Q5,Signature Line,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,,Automatic,7-Speed AT,AWD
Audi,Q5,Technology,2.0 L TFSI,1984 cc,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,,Automatic,7-Speed AT,AWD
